PLACA,Grupo,Modelo Original frota,Modelo Padrão,Modelo Simplificado,Ano,Idade
ACX8999,Pesado,DUCATO CARGO 2.8 CURTO/LONGO TB DIESEL,FIAT DUCATO ,FIAT DUCATO ,2015,10.0
ASU8677,Kombi,KOMBI FURGÃO 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI,2011,14.0
AXA7630,Kombi,KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI,2014,11.0
AXH4H84,Kombi,KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI,2014,11.0
AXV6J76,Kombi,KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI,2014,11.0
BAJ7268,Caminhão4.2Ton,8-160 E DELIVERY 2P (DIESEL)(E5),VW 8  160 ,CAMINHÃO 3/4 ,2015,10.0
BAJ7269,Caminhão4.2Ton,8-160 E DELIVERY 2P (DIESEL)(E5),VW 8  160 ,CAMINHÃO 3/4 ,2015,10.0
BAV9082,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER,2017,8.0
BAV9112,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER,2017,8.0
BBH4B56,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER ,MB SPRINTER ,2017,8.0
BBS1662,Pesado,SPRINTER 311 STREET STD. 2.2 16LUG. DIES,MB SPRINTER ,MB SPRINTER ,2018,8.0
BBV7271,Pesado,SPRINTER 313 FURGÃO LONGO 2.2 129CV DIES,MB SPRINTER ,MB SPRINTER ,2018,7.0
BBW0C96,Caminhão12Ton,CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423 ,CAMINHÃO TRUCK ,2019,6.0
BBX3631,Pesado,SPRINTER 313 VAN STREET STD. 16L. DIES.,MB SPRINTER ,MB SPRINTER ,2018,8.0
BCC9492,Leve,GOL 1.0 TREND/ POWER 8V 4P,VW GOL 1 0,VW GOL ,2018,8.0
BCC9519,Leve,GOL 1.0 TREND/ POWER 8V 4P,VW GOL 1 0,VW GOL ,2018,8.0
BCH3095,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO ,2019,7.0
BCI3G04,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA ,FIAT STRADA ,2019,7.0
BCJ2731,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX ,GM ONIX ,2018,7.0
BCJ7J75,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA ,FIAT STRADA ,2019,7.0
BCJ9B46,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA ,FIAT STRADA ,2019,7.0
BCN5C73,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO ,VW SAVEIRO ,2019,6.0
BCN5C75,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO ,VW SAVEIRO ,2019,6.0
BCN5C76,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO ,VW SAVEIRO ,2019,6.0
BCN5C78,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO ,VW SAVEIRO ,2019,6.0
BCN8I58,Pesado,SPRINTER 313 VAN STREET STD. 16L. DIES.,MB SPRINTER ,MB SPRINTER ,2019,7.0
BCN9F78,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO ,FIAT FIORINO ,2019,6.0
BCO1B96,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO ,FIAT FIORINO ,2019,6.0
BCP6661,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX ,GM ONIX ,2019,6.0
BCQ3258,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX ,GM ONIX ,2019,6.0
BCQ3293,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX ,GM ONIX ,2019,6.0
BCQ7135,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER ,MB SPRINTER ,2019,6.0
BCQ7150,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER ,MB SPRINTER ,2019,6.0
BCQ7154,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER ,MB SPRINTER ,2019,6.0
BCQ7156,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER ,MB SPRINTER ,2019,6.0
BCQ7158,Pesado,SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER ,MB SPRINTER ,2019,6.0
BCQ7519,Pesado,DUCATO CARGO CURTO 2.3 16V DIESEL,FIAT DUCATO ,FIAT DUCATO ,2018,7.0
BCQ7B44,Pesado,SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER ,MB SPRINTER ,2019,6.0
BCQ7B49,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER ,MB SPRINTER ,2019,6.0
BCQ7B53,Pesado,SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER ,MB SPRINTER ,2019,6.0
